x,y,z
49220.9,91212.8,307.4
52573.7,81865.5,69.1
60600.1,74245.5,-301.5
69541,64085.5,-1400
76957.8,56567.1,-1241.2
86813,52198.3,-539.7
88133.8,51690.3,-182.4
91689.8,50471.1,-89.7
95144.2,49251.9,2.9
47310.8,61687.7,-570.1
70841.4,82779.9,-158.2
34753.1,66442.6,-175
44140.9,65101.5,-504.5
49383.5,63882.3,-606.8
56211,60224.7,-686.4
62063.2,55835.6,-1550
63038.5,54982.1,-1640.9
67549.6,50714.9,-1436.4
72792.2,47666.9,-890.9
74255.2,46813.5,-720.5
79741.6,42424.3,-413.6
93152.8,29866.6,-470.5
90551.9,71187.4,-150
31217.4,50217.1,-800
66493,26483.3,-800
106645,82566.6,300
76571.7,104837,300
87788.4,93620.7,-300
42108.9,32985.7,-1600
36419.3,88256.2,350
105345,61271.2,400
